year,age,sex,cause,deaths
2005,22,Male,Cancer,134
2005,22,Male,Chronic lower respiratory disease,11
2005,22,Male,Diabetes,13
2005,22,Male,Drug overdose,329
2005,22,Male,Heart disease,99
2005,22,Male,Homicide,594
2005,22,Male,Other causes,557
2005,22,Male,Other unintentional injury,1044
2005,22,Male,Stroke,12
2005,22,Male,Suicide,413
2005,23,Female,Alcohol-induced,2
2005,23,Female,Cancer,75
2005,23,Female,Chronic lower respiratory disease,10
2005,23,Female,Diabetes,16
2005,23,Female,Drug overdose,100
2005,23,Female,Heart disease,56
2005,23,Female,Homicide,90
2005,23,Female,Other causes,309
2005,23,Female,Other unintentional injury,274
2005,23,Female,Stroke,12
2005,23,Female,Suicide,68
2005,23,Male,Alcohol-induced,20
2005,23,Male,Cancer,124
2005,23,Male,Chronic lower respiratory disease,5
2005,23,Male,Diabetes,19
2005,23,Male,Drug overdose,350
2005,23,Male,Heart disease,125
2005,23,Male,Homicide,574
2005,23,Male,Other causes,561
2005,23,Male,Other unintentional injury,968
2005,23,Male,Stroke,12
2005,23,Male,Suicide,453
2005,24,Female,Alcohol-induced,6
2005,24,Female,Cancer,88
2005,24,Female,Chronic lower respiratory disease,8
2005,24,Female,Diabetes,14
2005,24,Female,Drug overdose,147
2005,24,Female,Heart disease,62
2005,24,Female,Homicide,85
2005,24,Female,Other causes,295
2005,24,Female,Other unintentional injury,263
2005,24,Female,Stroke,19
2005,24,Female,Suicide,55
2005,24,Male,Alcohol-induced,20
2005,24,Male,Cancer,126
2005,24,Male,Chronic lower respiratory disease,11
2005,24,Male,Diabetes,13
2005,24,Male,Drug overdose,390
2005,24,Male,Heart disease,124
2005,24,Male,Homicide,583
2005,24,Male,Other causes,516
2005,24,Male,Other unintentional injury,918
2005,24,Male,Stroke,17
2005,24,Male,Suicide,405
2005,25,Female,Alcohol-induced,6
2005,25,Female,Cancer,113
2005,25,Female,Chronic lower respiratory disease,7
2005,25,Female,Diabetes,13
2005,25,Female,Drug overdose,116
2005,25,Female,Heart disease,62
2005,25,Female,Homicide,84
2005,25,Female,Other causes,326
2005,25,Female,Other unintentional injury,252
2005,25,Female,Stroke,16
2005,25,Female,Suicide,71
2005,25,Male,Alcohol-induced,25
2005,25,Male,Cancer,154
2005,25,Male,Chronic lower respiratory disease,13
2005,25,Male,Diabetes,29
2005,25,Male,Drug overdose,372
2005,25,Male,Heart disease,135
2005,25,Male,Homicide,557
2005,25,Male,Other causes,567
2005,25,Male,Other unintentional injury,799
2005,25,Male,Stroke,17
2005,25,Male,Suicide,423
2005,26,Female,Alcohol-induced,11
2005,26,Female,Cancer,105
2005,26,Female,Chronic lower respiratory disease,4
2005,26,Female,Diabetes,15
2005,26,Female,Drug overdose,129
2005,26,Female,Heart disease,64
2005,26,Female,Homicide,80
2005,26,Female,Other causes,341
2005,26,Female,Other unintentional injury,212
2005,26,Female,Stroke,16
2005,26,Female,Suicide,59
2005,26,Male,Alcohol-induced,23
2005,26,Male,Cancer,143
2005,26,Male,Chronic lower respiratory disease,14
2005,26,Male,Diabetes,13
2005,26,Male,Drug overdose,403
2005,26,Male,Heart disease,139
2005,26,Male,Homicide,560
2005,26,Male,Other causes,564
2005,26,Male,Other unintentional injury,729
2005,26,Male,Stroke,20
2005,26,Male,Suicide,394
2005,27,Female,Alcohol-induced,10
2005,27,Female,Cancer,112
2005,27,Female,Chronic lower respiratory disease,7
2005,27,Female,Diabetes,24
2005,27,Female,Drug overdose,149
2005,27,Female,Heart disease,72
2005,27,Female,Homicide,76
2005,27,Female,Other causes,321
2005,27,Female,Other unintentional injury,172
2005,27,Female,Stroke,19
2005,27,Female,Suicide,61
2005,27,Male,Alcohol-induced,35
2005,27,Male,Cancer,150
2005,27,Male,Chronic lower respiratory disease,5
2005,27,Male,Diabetes,18
2005,27,Male,Drug overdose,341
2005,27,Male,Heart disease,195
2005,27,Male,Homicide,447
2005,27,Male,Other causes,551
2005,27,Male,Other unintentional injury,749
2005,27,Male,Stroke,27
2005,27,Male,Suicide,389
2005,28,Female,Alcohol-induced,4
2005,28,Female,Cancer,125
2005,28,Female,Chronic lower respiratory disease,14
2005,28,Female,Diabetes,19
2005,28,Female,Drug overdose,154
2005,28,Female,Heart disease,88
2005,28,Female,Homicide,75
2005,28,Female,Other causes,362
2005,28,Female,Other unintentional injury,210
2005,28,Female,Stroke,12
2005,28,Female,Suicide,66
2005,28,Male,Alcohol-induced,29
2005,28,Male,Cancer,146
2005,28,Male,Chronic lower respiratory disease,15
2005,28,Male,Diabetes,26
2005,28,Male,Drug overdose,376
2005,28,Male,Heart disease,167
2005,28,Male,Homicide,423
2005,28,Male,Other causes,569
2005,28,Male,Other unintentional injury,650
2005,28,Male,Stroke,23
2005,28,Male,Suicide,343
2005,29,Female,Alcohol-induced,10
2005,29,Female,Cancer,135
2005,29,Female,Chronic lower respiratory disease,10
2005,29,Female,Diabetes,21
2005,29,Female,Drug overdose,159
2005,29,Female,Heart disease,81
2005,29,Female,Homicide,80
2005,29,Female,Other causes,364
2005,29,Female,Other unintentional injury,171
2005,29,Female,Stroke,22
2005,29,Female,Suicide,52
2005,29,Male,Alcohol-induced,42
2005,29,Male,Cancer,159
2005,29,Male,Chronic lower respiratory disease,11
2005,29,Male,Diabetes,32
2005,29,Male,Drug overdose,321
2005,29,Male,Heart disease,178
2005,29,Male,Homicide,365
2005,29,Male,Other causes,553
2005,29,Male,Other unintentional injury,597
2005,29,Male,Stroke,25
2005,29,Male,Suicide,333
2005,30,Female,Alcohol-induced,11
2005,30,Female,Cancer,186
2005,30,Female,Chronic lower respiratory disease,13
2005,30,Female,Diabetes,22
2005,30,Female,Drug overdose,168
2005,30,Female,Heart disease,103
2005,30,Female,Homicide,71
2005,30,Female,Other causes,359
2005,30,Female,Other unintentional injury,204
2005,30,Female,Stroke,25
2005,30,Female,Suicide,70
2005,30,Male,Alcohol-induced,42
2005,30,Male,Cancer,154
2005,30,Male,Chronic lower respiratory disease,15
2005,30,Male,Diabetes,42
2005,30,Male,Drug overdose,336
2005,30,Male,Heart disease,213
2005,30,Male,Homicide,392
2005,30,Male,Other causes,615
2005,30,Male,Other unintentional injury,562
2005,30,Male,Stroke,25
2005,30,Male,Suicide,360
2005,31,Female,Alcohol-induced,20
2005,31,Female,Cancer,202
2005,31,Female,Chronic lower respiratory disease,14
2005,31,Female,Diabetes,25
2005,31,Female,Drug overdose,138
2005,31,Female,Heart disease,107
2005,31,Female,Homicide,81
2005,31,Female,Other causes,408
2005,31,Female,Other unintentional injury,191
2005,31,Female,Stroke,28
2005,31,Female,Suicide,74
2005,31,Male,Alcohol-induced,40
2005,31,Male,Cancer,173
2005,31,Male,Chronic lower respiratory disease,15
2005,31,Male,Diabetes,45
2005,31,Male,Drug overdose,354
2005,31,Male,Heart disease,225
2005,31,Male,Homicide,334
2005,31,Male,Other causes,617
2005,31,Male,Other unintentional injury,625
2005,31,Male,Stroke,38
2005,31,Male,Suicide,351
2005,32,Female,Alcohol-induced,23
2005,32,Female,Alzheimer disease,1
2005,32,Female,Cancer,227
2005,32,Female,Chronic lower respiratory disease,16
2005,32,Female,Diabetes,33
2005,32,Female,Drug overdose,191
2005,32,Female,Heart disease,138
2005,32,Female,Homicide,53
2005,32,Female,Other causes,496
2005,32,Female,Other unintentional injury,200
2005,32,Female,Stroke,39
2005,32,Female,Suicide,83
2005,32,Male,Alcohol-induced,46
2005,32,Male,Cancer,217
2005,32,Male,Chronic lower respiratory disease,15
2005,32,Male,Diabetes,52
2005,32,Male,Drug overdose,384
2005,32,Male,Heart disease,259
2005,32,Male,Homicide,329
2005,32,Male,Other causes,684
2005,32,Male,Other unintentional injury,568
2005,32,Male,Stroke,41
2005,32,Male,Suicide,385
2005,33,Female,Alcohol-induced,17
2005,33,Female,Cancer,281
2005,33,Female,Chronic lower respiratory disease,18
2005,33,Female,Diabetes,30
2005,33,Female,Drug overdose,212
2005,33,Female,Heart disease,161
2005,33,Female,Homicide,74
2005,33,Female,Other causes,496
2005,33,Female,Other unintentional injury,199
2005,33,Female,Stroke,33
2005,33,Female,Suicide,69
2005,33,Male,Alcohol-induced,54
2005,33,Male,Cancer,222
2005,33,Male,Chronic lower respiratory disease,12
2005,33,Male,Diabetes,57
2005,33,Male,Drug overdose,372
2005,33,Male,Heart disease,302
2005,33,Male,Homicide,317
2005,33,Male,Other causes,744
2005,33,Male,Other unintentional injury,585
2005,33,Male,Stroke,44
2005,33,Male,Suicide,406
2005,34,Female,Alcohol-induced,24
2005,34,Female,Alzheimer disease,1
2005,34,Female,Cancer,315
2005,34,Female,Chronic lower respiratory disease,25
2005,34,Female,Diabetes,44
2005,34,Female,Drug overdose,240
2005,34,Female,Heart disease,172
2005,34,Female,Homicide,73
2005,34,Female,Other causes,552
2005,34,Female,Other unintentional injury,210
2005,34,Female,Stroke,39
2005,34,Female,Suicide,63
2005,34,Male,Alcohol-induced,72
2005,34,Male,Cancer,292
2005,34,Male,Chronic lower respiratory disease,15
2005,34,Male,Diabetes,60
2005,34,Male,Drug overdose,442
2005,34,Male,Heart disease,390
2005,34,Male,Homicide,301
2005,34,Male,Other causes,872
2005,34,Male,Other unintentional injury,587
2005,34,Male,Stroke,48
2005,34,Male,Suicide,425
2005,35,Female,Alcohol-induced,35
2005,35,Female,Cancer,405
2005,35,Female,Chronic lower respiratory disease,19
2005,35,Female,Diabetes,48
2005,35,Female,Drug overdose,216
2005,35,Female,Heart disease,205
2005,35,Female,Homicide,81
2005,35,Female,Other causes,579
2005,35,Female,Other unintentional injury,206
2005,35,Female,Stroke,50
2005,35,Female,Suicide,91
2005,35,Male,Alcohol-induced,109
2005,35,Male,Cancer,295
2005,35,Male,Chronic lower respiratory disease,19
2005,35,Male,Diabetes,55
2005,35,Male,Drug overdose,431
2005,35,Male,Heart disease,449
