year,report_id,report_pdf
2019,70-18,https://www.cdc.gov/nchs/data/nvsr/nvsr70/nvsr70-18.pdf
2022,74-12,https://www.cdc.gov/nchs/data/nvsr/nvsr74/nvsr74-12.pdf

