year,state,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,beta_mean,tau_squared,shrinkage_weight,beta_shrunk,doubling_time_shrunk
2019,AK,Both,40,80,50,0.004150225070456468,0.07685244861750742,0.001398793515873876,0.07402312167394304,0.07968177556107181,9.019194482790265,8.698942458036532,9.363927984733191,0.9872449742112039,0.10335938863149957,41,0.07889749030073692,2.1354201292331876e-5,0.9160637457376704,0.07702410175620804,8.99909463084493
2019,AL,Both,40,80,50,0.005840548752184616,0.07422276286622362,5.25952448542045e-4,0.07315892362418652,0.07528660210826071,9.338741294355321,9.2067799734568,9.474540441855122,0.9980455089710598,0.038863579873391146,41,0.07889749030073692,2.1354201292331876e-5,0.9872114933622925,0.07428254564904936,9.331225451463993
2019,AR,Both,40,80,50,0.005612812800258702,0.07615569323837965,7.232148542634127e-4,0.07469285311942533,0.07761853335733396,9.101711915224545,8.93017621666323,9.279966577949327,0.996495147715259,0.053439656630940094,41,0.07889749030073692,2.1354201292331876e-5,0.9760920618371088,0.07622124395300169,9.093884389860424
2019,AZ,Both,40,80,50,0.004058037210988232,0.07524579007417868,8.850680654617712e-4,0.07345557093455465,0.07703600921380271,9.211773573998332,8.997703640595034,9.436277898888102,0.9946331867705581,0.06539928381512537,41,0.07889749030073692,2.1354201292331876e-5,0.9646146210987756,0.07537500687032914,9.195981656789712
2019,CA,Both,40,80,50,0.0031273077775873436,0.08274878090138313,6.226750732304824e-4,0.0814893016846266,0.08400826011813965,8.376524379084351,8.250940795407285,8.505989942612445,0.9977965340154935,0.04601058995113322,41,0.07889749030073692,2.1354201292331876e-5,0.982166977523479,0.08268010074953819,8.383482534203575
2019,CO,Both,40,80,50,0.0033573725729390603,0.07975745459936254,9.711121467195505e-4,0.07779319487785549,0.08172171432086958,8.690688338058939,8.48179931515379,8.910126157542035,0.9942514667280725,0.07175723696063098,41,0.07889749030073692,2.1354201292331876e-5,0.9577051710597003,0.0797210825564574,8.694653388193364
2019,CT,Both,40,80,50,0.0033250302624159393,0.07998266874472675,0.0010749803237683096,0.07780831580462241,0.08215702168483108,8.666217212283811,8.436858668258216,8.90839460271118,0.9930043990549428,0.07943224485578916,41,0.07889749030073692,2.1354201292331876e-5,0.9486630925884086,0.07992695903942258,8.672257632347335
2019,DC,Both,40,80,50,0.005084605551275479,0.07317823245598691,0.001954571491471845,0.0692247384476241,0.07713172646434972,9.472040486586486,8.986537866234821,10.012998186831505,0.9729301676427995,0.1444268307669964,41,0.07889749030073692,2.1354201292331876e-5,0.8482455669568774,0.07404615518764437,9.361015150663846
2019,DE,Both,40,80,50,0.0044858283186909945,0.07033530362033957,0.0011752141035905304,0.06795820872390787,0.07271239851677128,9.8548971125718,9.532723369042342,10.199609341911543,0.9892291796598441,0.08683870055141538,41,0.07889749030073692,2.1354201292331876e-5,0.9392518947044399,0.0708554402383606,9.782554144440706
2019,FL,Both,40,80,50,0.0041236932971547595,0.0743844423936717,8.245260855954848e-4,0.07271668096700426,0.07605220382033914,9.318442919710792,9.11409723507016,9.532161965346933,0.9952309370912805,0.06092572717184154,41,0.07889749030073692,2.1354201292331876e-5,0.9691457796577948,0.07452368896821122,9.301031526440052
2019,GA,Both,40,80,50,0.004423213815345229,0.08095292508950211,5.951755400029768e-4,0.07974906892891011,0.08215678125009411,8.56234879460621,8.436883359024625,8.69160217002446,0.9978963421978931,0.04397859958958879,41,0.07889749030073692,2.1354201292331876e-5,0.9836821991130511,0.08091938491388292,8.56589779195202
