from_year,to_year,age,cause,years_contributed,age_band
2005,2023,37,Alzheimer disease,-1.809913661787732e-5,30–39
2005,2023,37,COVID-19,-3.9818100270849754e-4,30–39
2005,2023,37,Cancer,3.029971829064948e-4,30–39
2005,2023,37,Chronic lower respiratory disease,1.0665240335328008e-4,30–39
2005,2023,37,Diabetes,-1.3868061312649616e-4,30–39
2005,2023,37,Drug overdose,-0.01806792661746215,30–39
2005,2023,37,Heart disease,2.762275747798526e-4,30–39
2005,2023,37,Homicide,-0.0010809880378417347,30–39
2005,2023,37,Other causes,9.088023698922143e-5,30–39
2005,2023,37,Other unintentional injury,5.198451113130886e-6,30–39
2005,2023,37,Stroke,2.3151466438520174e-4,30–39
2005,2023,37,Suicide,-0.002790755895873076,30–39
2005,2023,38,Alcohol-induced,-0.004035807771266775,30–39
2005,2023,38,Alzheimer disease,1.98651186309462e-5,30–39
2005,2023,38,COVID-19,-4.708957881049969e-4,30–39
2005,2023,38,Cancer,0.0019428117719400007,30–39
2005,2023,38,Chronic lower respiratory disease,4.472043001157999e-5,30–39
2005,2023,38,Diabetes,-6.2827026442136e-4,30–39
2005,2023,38,Drug overdose,-0.017022541597874863,30–39
2005,2023,38,Heart disease,3.825390150922203e-4,30–39
2005,2023,38,Homicide,-0.0011925767582283697,30–39
2005,2023,38,Other causes,5.244645597315412e-4,30–39
2005,2023,38,Other unintentional injury,5.361509137458143e-4,30–39
2005,2023,38,Stroke,-3.4346249130834394e-4,30–39
2005,2023,38,Suicide,-0.002834765245367521,30–39
2005,2023,39,Alcohol-induced,-0.0036712449152602744,30–39
2005,2023,39,Alzheimer disease,9.3889587162721e-6,30–39
2005,2023,39,COVID-19,-3.621548105812167e-4,30–39
2005,2023,39,Cancer,0.002200146818196913,30–39
2005,2023,39,Chronic lower respiratory disease,1.8072286950143734e-4,30–39
2005,2023,39,Diabetes,-2.143289499798584e-4,30–39
2005,2023,39,Drug overdose,-0.018591463141675035,30–39
2005,2023,39,Heart disease,0.0010134390836498142,30–39
2005,2023,39,Homicide,-9.668313775179627e-4,30–39
2005,2023,39,Other causes,0.002099637734950477,30–39
2005,2023,39,Other unintentional injury,-3.1841380398134334e-4,30–39
2005,2023,39,Stroke,9.2503856215842e-5,30–39
2005,2023,39,Suicide,-0.001941678947417813,30–39
2005,2023,40,Alcohol-induced,-0.003583873271338689,40–49
2005,2023,40,Alzheimer disease,2.1010550455002885e-7,40–49
2005,2023,40,COVID-19,-4.2240530730452974e-4,40–49
2005,2023,40,Cancer,0.0021237980475490303,40–49
2005,2023,40,Chronic lower respiratory disease,4.4383605372644297e-4,40–49
2005,2023,40,Diabetes,-5.504834066343278e-4,40–49
2005,2023,40,Drug overdose,-0.015740989316405773,40–49
