year,model,aicc,cv_rmse_log,max_abs_residual,delta_aicc,aicc_rank,cv_rank
2005,Gompertz,-92.92753102029408,0.11435416988455233,0.2792171145792004,164.67182482931312,4,4
2005,Gompertz–Makeham,-161.3410983579421,0.06688922791318729,0.1020972676334786,96.25825749166512,3,3
2005,Kannisto,-63.55057365536348,0.14278837497367103,0.33923007370929925,194.04878219424373,5,5
2005,Natural spline,-257.5993558496072,0.032205515115349526,0.11319044824583102,0,1,1
2005,Quadratic Gompertz,-230.62517319880652,0.0396104068058425,0.0888175957151498,26.974182650800685,2,2
2019,Gompertz,-30.187003145414142,0.18396131593382045,0.4138244427266109,218.13165096044213,4,4
2019,Gompertz–Makeham,-142.60613958557366,0.07714412928276136,0.13714834214421145,105.71251452028261,3,3
2019,Kannisto,-15.29188622517082,0.2058635471610702,0.466150216121346,233.02676788068544,5,5
2019,Natural spline,-248.31865410585627,0.03367478718435488,0.07470948469901106,0,1,1
2019,Quadratic Gompertz,-194.8276186497487,0.05184380692733384,0.09954887333814,53.49103545610757,2,2
2022,Gompertz,-18.397295340727013,0.20109719992760217,0.4256934455355923,282.99182699988893,4,4
2022,Gompertz–Makeham,-153.81768463466847,0.07094682118816577,0.13596443192805485,147.57143770594746,3,3
2022,Kannisto,-4.303895331578994,0.22367382814242362,0.513967867215301,297.08522700903694,5,5
2022,Natural spline,-301.3891223406159,0.02232818314819556,0.055493958291014334,0,1,1
2022,Quadratic Gompertz,-228.71458479349855,0.040078905863289056,0.09169268318097501,72.67453754711738,2,2
2023,Gompertz,-13.524633687940053,0.20864949687405634,0.42721719756699894,281.71898075890647,4,4
2023,Gompertz–Makeham,-149.45517411615367,0.07336856250509972,0.14396167733779475,145.78844033069282,3,3
2023,Kannisto,-0.7989031424650991,0.22969366876420877,0.518055476915054,294.44471130438137,5,5
2023,Natural spline,-295.2436144468465,0.02365348957075673,0.059507878310312456,0,1,1
2023,Quadratic Gompertz,-232.92423579590272,0.038894997005408466,0.08448118153918305,62.319378650943776,2,2
