year,population,sex,window,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages
2005,Total,Both,30–49,30,49,50,0.004319387673335316,0.07662086871696719,0.002037175761144171,0.07234092126053458,0.0809008161733998,9.046454212368548,8.567863877594009,9.58167477662591,0.987435531758173,0.049837996764048514,20
2005,Total,Male,30–49,30,49,50,0.005303721755953536,0.07234357732493424,0.0026323431326243994,0.0668132296201265,0.07787392502974198,9.581322989415431,8.90088922954911,10.374400167465412,0.9767228977940634,0.06439832587244089,20
2005,Total,Female,30–49,30,49,50,0.0033961341745654223,0.08546234834936797,0.001029959734628551,0.08329848324232604,0.0876262134564099,8.110556215075869,7.9102719747756165,8.321246120934648,0.9973924692497375,0.02519720237231179,20
2006,Total,Both,30–49,30,49,50,0.004212994227317257,0.07489140598825027,0.0021284614926924826,0.07041967432644829,0.07936313765005225,9.25536343474034,8.73386815446162,9.843089835188465,0.9856691712767801,0.052071234602571265,20
2006,Total,Male,30–49,30,49,50,0.005122790167613543,0.06955078437286506,0.002769111962132656,0.06373309601972546,0.07536847272600466,9.96605842493379,9.196778911519408,10.875780777155647,0.9722584204518319,0.06774427402893518,20
2006,Total,Female,30–49,30,49,50,0.0033711454707021186,0.08577897284412674,0.0010486453959191924,0.08357585061944281,0.08798209506881066,8.080618799428827,7.878275460681357,8.29362998309339,0.9973171190314236,0.025654333241772978,20
2007,Total,Both,30–49,30,49,50,0.004076441520650724,0.07396688096728712,0.0021962213508746604,0.06935279112598661,0.07858097080858764,9.371047845947421,8.820801950237492,9.99451023248323,0.9843788718287431,0.05372892936667893,20
2007,Total,Male,30–49,30,49,50,0.004950417065534905,0.06856950433327029,0.002768010497974098,0.06275413007045794,0.07438487859608264,10.108680050989177,9.318388275173561,11.045443220736328,0.9715035766273327,0.06771732752377006,20
2007,Total,Female,30–49,30,49,50,0.0032648304697744986,0.084803169809167,0.0010940071724100627,0.08250474602846891,0.08710159358986508,8.173599903396747,7.957916175721935,8.401300699971483,0.9970133135631799,0.026764075519824508,20
2008,Total,Both,30–49,30,49,50,0.0040225455601399455,0.07442715274467782,0.002498082063406603,0.06917887707933608,0.07967542841001955,9.313095489999263,8.69963543833018,10.019636192779288,0.9801251154280547,0.06111372821482096,20
2008,Total,Male,30–49,30,49,50,0.004816366351887817,0.0681011587409607,0.0031154777882467506,0.061555782789751705,0.07464653469216971,10.178199510473807,9.285724828598845,11.260472195235343,0.9636961290096956,0.07621785753130123,20
2008,Total,Female,30–49,30,49,50,0.0032976208177843466,0.08685921903100371,0.001377791502021669,0.08396458649754959,0.08975385156445784,7.98012218268428,7.722756945557407,8.25523246732328,0.9954913640967977,0.03370664904275285,20
2009,Total,Both,30–49,30,49,50,0.003948692640058744,0.07317566040843174,0.002376282516784794,0.06818327609507911,0.07816804472178436,9.472373418854403,8.867398219144334,10.165941272657193,0.9813718828591355,0.05813399248156693,20
2009,Total,Male,30–49,30,49,50,0.0047296543722328424,0.06761365684252658,0.0027807532545488034,0.061771511041573,0.07345580264348016,10.251585447808235,9.436248133100593,11.22114659124088,0.970453681495456,0.06802906962921243,20
2009,Total,Female,30–49,30,49,50,0.0032211771266917894,0.08371829205780495,0.0016092640889437263,0.08033735366477467,0.08709923045083524,8.279518890344157,7.958132086496503,8.627956348329008,0.9933929514223875,0.03936945451001808,20
2010,Total,Both,30–49,30,49,50,0.003732119784485225,0.07130025733824709,0.0029467325504707936,0.06510940197626731,0.07749111270022686,9.721524247404439,8.944860338260648,10.645884611451365,0.9701722429861713,0.07208963022041699,20
2010,Total,Male,30–49,30,49,50,0.00448089606789856,0.06601336056845152,0.003633942095973674,0.05837873152606071,0.07364798961084232,10.50010444236053,9.41162391835203,11.873282656895672,0.9482751549071604,0.08890170297243126,20
2010,Total,Female,30–49,30,49,50,0.003036378604309777,0.08151243673771111,0.0016445244900208332,0.07805741899091019,0.08496745448451203,8.503575752376767,8.157796238161907,8.879965409062045,0.9927266394011226,0.04023207411717114,20
2011,Total,Both,30–49,30,49,50,0.00369882060029221,0.06955926741448427,0.003030964008809583,0.06319144832519889,0.07592708650376966,9.9648430227086,9.129116004280391,10.969002909900682,0.9669531920657023,0.07415029048753206,20
2011,Total,Male,30–49,30,49,50,0.004416443019999724,0.06430845701975837,0.0035623922856267737,0.05682414855090044,0.07179276548861631,10.778476310619304,9.654833266867996,12.198109399546148,0.9476555866690405,0.08715128983452196,20
