year,population,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,beta_reference,beta_se_reference,beta_difference,beta_difference_se,beta_difference_low,beta_difference_high
2005,Total,Both,30,80,50,0.004444794892694796,0.08070412131482982,5.302040051289769e-4,0.07963863647549588,0.08176960615416376,8.588745769945898,8.47683159012806,8.703654548043659,0.9978895593660843,0.0546307414761312,51,0.08070412131482982,5.302040051289769e-4,0,7.498216948779332e-4,-0.001469650521960749,0.001469650521960749
2005,Total,Male,30,80,50,0.005636115580559526,0.07908750966430296,6.290242573874038e-4,0.07782343809310363,0.08035158123550229,8.764306570052554,8.626428626568051,8.906663564910902,0.9969099110571703,0.06481290457092509,51,0.07908750966430296,6.290242573874038e-4,0,8.895746358589309e-4,-0.0017435662862835045,0.0017435662862835045
2005,Total,Female,30,80,50,0.0033016578069710555,0.0850919783187185,4.895819727167643e-4,0.084108126509802,0.08607583012763499,8.145858096796266,8.052750458893426,8.241143981243782,0.9983805565440473,0.050445160587494244,51,0.0850919783187185,4.895819727167643e-4,0,6.923734657094227e-4,-0.0013570519927904685,0.0013570519927904685
2006,Total,Both,30,80,50,0.004387812124057201,0.07987492264611726,5.403853012979498e-4,0.07878897772612027,0.08096086756611424,8.677907378150548,8.561508805397962,8.797514583440925,0.9977622616360738,0.05567979382865686,51,0.08070412131482982,5.302040051289769e-4,-8.291986687125608e-4,7.57055190137208e-4,-0.0023130268413814885,6.54629503956367e-4
2006,Total,Male,30,80,50,0.005565364709286946,0.07805489469250508,6.62169295857306e-4,0.07672421567276293,0.07938557371224723,8.88025258749727,8.731399776392998,9.034268704893549,0.9964859732452837,0.06822807686375823,51,0.07908750966430296,6.290242573874038e-4,-0.0010326149717978794,9.133124836319359e-4,-0.002822707439716474,7.574774961207149e-4
2006,Total,Female,30,80,50,0.0032527673282535976,0.08456389608968466,4.733228916138602e-4,0.08361271812753104,0.08551507405183828,8.196727121286187,8.105555520419326,8.289973057719717,0.9984672372083662,0.04876987023174499,51,0.0850919783187185,4.895819727167643e-4,-5.280822290338327e-4,6.809736175028697e-4,-0.0018627905193394573,8.066260612717919e-4
2007,Total,Both,30,80,50,0.004291614237080537,0.07976136005127647,5.555016120946111e-4,0.07864503776742576,0.08087768233512718,8.690262805377682,8.570314585521874,8.813616220895785,0.9976288957686494,0.05723733632025754,51,0.08070412131482982,5.302040051289769e-4,-9.427612635533461e-4,7.679181779945831e-4,-0.002447880892422729,5.623583653160368e-4
2007,Total,Male,30,80,50,0.005442645805983526,0.0779137107107452,6.624573477482788e-4,0.07658245282905594,0.07924496859243445,8.89634409960598,8.746891984081376,9.050992165361412,0.9964702132607964,0.06825775692697017,51,0.07908750966430296,6.290242573874038e-4,-0.0011737989535577642,9.135213483917378e-4,-0.0029643007964055704,6.167028892900418e-4
2007,Total,Female,30,80,50,0.0031816106639034674,0.084393660769431,4.97489246574367e-4,0.08339391869877708,0.08539340284008493,8.213261212280727,8.117104571391687,8.31172334116624,0.998300172035027,0.05125990402533489,51,0.0850919783187185,4.895819727167643e-4,-6.983175492874943e-4,6.979871477802223e-4,-0.0020663723589367296,6.697372603617412e-4
2008,Total,Both,30,80,50,0.004243819192743711,0.08024620835778169,5.774526489080501e-4,0.07908577381392139,0.081406642901642,8.637756160010879,8.5146267657472,8.764498937455315,0.9974690752450619,0.05949910991247382,51,0.08070412131482982,5.302040051289769e-4,-4.5791295704812607e-4,7.839437790975396e-4,-0.0019944427640793037,0.0010786168499830515
2008,Total,Male,30,80,50,0.005368831917747907,0.07840287855209467,7.037474273256563e-4,0.07698864514894763,0.07981711195524172,8.840838415127637,8.684192694777467,9.003239103882581,0.9960676285851049,0.0725121715317257,51,0.07908750966430296,6.290242573874038e-4,-6.846311122082893e-4,9.43891920639887e-4,-0.002534659276662468,0.0011653970522458891
2008,Total,Female,30,80,50,0.003156029756035915,0.08481789866143173,5.304254990428975e-4,0.0837519687134132,0.08588382860945026,8.172180536171808,8.070753153215557,8.276189696886911,0.998087337268818,0.05465356359107727,51,0.0850919783187185,4.895819727167643e-4,-2.740796572867632e-4,7.218321952117024e-4,-0.0016888707599017,0.0011407114453281736
2009,Total,Both,30,80,50,0.004197009174369421,0.07931724098980121,5.685697695165227e-4,0.07817465726040053,0.08045982471920189,8.7389219785024,8.614823397626969,8.866648154926544,0.9974884819654121,0.05858384280225247,51,0.08070412131482982,5.302040051289769e-4,-0.0013868803250286083,7.774238675670305e-4,-0.0029106311054599883,1.3687045540277157e-4
2009,Total,Male,30,80,50,0.005283556682253002,0.07773800912628322,6.622809002026125e-4,0.07640710582921238,0.07906891242335405,8.916451403250463,8.766367960756408,9.071763326689668,0.996456177863262,0.06823957626413446,51,0.07908750966430296,6.290242573874038e-4,-0.0013495005380197433,9.13393402184928e-4,-0.0031397516063022025,4.4075053026271563e-4
2009,Total,Female,30,80,50,0.003150276963548586,0.08330386547660214,5.531029206771408e-4,0.0821923635436255,0.08441536740957878,8.320708488066884,8.211149247231642,8.433230907054297,0.9978445370635678,0.05699018184869344,51,0.0850919783187185,4.895819727167643e-4,-0.0017881128421163572,7.386564484730517e-4,-0.0032358794811235387,-3.403462031091758e-4
2010,Total,Both,30,80,50,0.004095487498318475,0.08005725125800722,6.432993172464244e-4,0.07876449288000666,0.08135000963600779,8.658143636809134,8.520554375609304,8.800249391764849,0.9968460919888574,0.06628376691291125,51,0.08070412131482982,5.302040051289769e-4,-6.46870056822596e-4,8.336367905895973e-4,-0.002280798166378207,9.870580527330146e-4
2010,Total,Male,30,80,50,0.005152056803840161,0.07852304946904415,7.782489389972032e-4,0.07695909967291327,0.08008699926517503,8.827308481354919,8.65492760272956,9.006695550050818,0.9952098017822302,0.08018859944312778,51,0.07908750966430296,6.290242573874038e-4,-5.644601952588119e-4,0.0010006712384355051,-0.002525775822592402,0.001396855432074778
2010,Total,Female,30,80,50,0.003076643807104224,0.08394369140785567,5.335256591355813e-4,0.08287153145488375,0.08501585136082758,8.257287342680272,8.153152258842448,8.364116945724634,0.9980245238603443,0.054972995437912966,51,0.0850919783187185,4.895819727167643e-4,-0.001148286910862828,7.24113345385441e-4,-0.0025675490678182923,2.709752460926364e-4
2011,Total,Both,30,80,50,0.004106443414840215,0.07933650297892099,6.905636198221304e-4,0.0779487634288641,0.08072424252897788,8.736800268901547,8.586604950936811,8.892343509624885,0.9963013088846341,0.07115374878797258,51,0.08070412131482982,5.302040051289769e-4,-0.0013676183359088295,8.70628738370525e-4,-0.0030740506631150586,3.388139912973995e-4
